2311.10685	44	654128	d338d13e08302df0f5d38c8886449eebe30ebd1a20d29390757658644ec50b7e
23_2005.14462_estimation-of-semi-markov-multi-state-models	20	1203714	cdcbd92ffb944f87af8c940895538e5ab049185158156420fe4afa7ac157e3b4
2401.04088	13	2475990	f8bbf0e9d979b7a8ce7be65119266545a229a85b57e077d8bd048e458bb642da
2403.07965	29	523646	fdaa0fd62cf75a5f479429fda09074caec76c03b9a32014b167ca817f39aa975
2406.18219	21	3164116	3c0678d962b9f583cc75ea3a9be457021b993bb0c42a65244da89713405073b0
2407.06204	29	1501763	e38a59989280e1e9295c00a7643bda0bf980afbed210c0593e0430636578ad81
24_2207.05291_pseudo-value-based-deep-neural-networks-for-multi-state-survival-analy	5	577678	6deb454aa43e1609b3253bb37d93e541176c011c0ac674eb5f50950408ca74fe
2501.03938	36	1538174	5e66848c666213679c193d97351480fc019c7e66435a42662e18ec4c8b0af705
2503.07137	29	578359	e473e8c790a2dd644673448031defffa21e260b2b8b1dc4e5efd10f1c96cf2d9
2505.17388	37	6654485	a816e911616e859722eb561728ed2b5d3f27602080ea2e6a32ab485afff337f9
2506.21802	20	683588	44b0e3b8ee3e777b2b1a3b52920bc0c5ae4a24769558a3d766a5592491ed94a6
2507.07107	18	327367	111b1ba18150fe3310e078220b7338977fe79a986c6cd234b2dfd2b19ee0834c
2507.11181	21	11067334	7fc23f5cc8de26cd59ad68c3f81bf8266d3d1e423e9b70bf8f2e4208b4f24be1
2508.06788	18	721270	79bb14f8e7d8d859e971187825433511c6d0ce00f1ff267be24887a48bbb95b2
2509.05065	20	991388	8b2c6073a1fca19d7dff0ef53e38802dc1427efddab93e5b36a8a0a76d8769b7
2510.25207	32	3855006	155c55507ee2dd30184b9377d57a7423a993515701d830133aa3814bb4df924a
2512.12924	35	3227697	e3e75a4c90499d22f83c36cc3777d7671b0d2b28e0c5da3ce89a6ac62917348a
25_2503.05023_a-scorecard-model-using-survival-analysis-framework-behavioral-credit-	25	1492426	b62f7cbb34a4d9ac5d99d49da2e0173e5c4cada26bc4ddf56f876631d9dfe54d
2601.23172	37	760512	95dbaa84b93df5a68fc4f8d04c2f640abdfdc24fe2e92761fed1ec0897eb62b8
2602.00080	12	956738	a9bca7ee4e4e809a1625ec27969219eb398afc39d70561deb04fa236c35faf12
2602.00133	10	267245	540d563eebc59e16d68e03df5e9dc7dc6060dff8636a7f6ee5f6bdb280eed15c
2603.09219	19	577508	29fb8e6bfac48324d407e97664ea64fd2c59c63a0ebab78d04850c30660d706a
2606.08209	27	590374	9a67af7d143b82e7ff56f3a4bf5c1f555a947d8026a7d0b508ae0d057dac1f26
2606.23448	16	1781332	dd46d495f8cc77b0f0a77f21cc13d9694b8f0c1e2f6851d8fa951324ed2cceeb
26_2012.13926_a-multi-state-model-incorporating-estimation-of-excess-hazards-and-mul	18	2357449	e1cf801fe502f2633688c797c6802f7a9afbd8697dea78fb1cea6d0cf80b13b5
29_2501.14291_advances-in-temporal-point-processes-bayesian-deep-and-llm-approaches	36	1222862	586a3de17abb550ccc5cc74a40a079a223244e603bd2649533e8d824e6219e3f
30_1905.05023_avoiding-backtesting-overfitting-by-covariance-penalties-an-empirical-	29	2694409	f144863e04613cedfaf93387b6177485f539ee8ae756eab3a407003f5e183120
31_2209.04895_backtesting-trading-strategies-with-gan-to-avoid-overfitting	11	4886810	332d38e3489b24a6fa084856bad2ff3ccb16c7ca1790fb6747515a5b05df5deb
32_1902.01802_how-should-you-discount-your-backtest-pnl	5	530220	7a83b8cd46af6d29b1f7b0275937a654d5d2ad48d18f986575065d6ba332a840
33_2209.05559_deep-reinforcement-learning-for-cryptocurrency-trading-practical-appro	10	1121011	00bb16636d6306d24f092e3d86abfcfe39be6c50d280ee50c1dffe83b2963ae4
34_2507.07107_machine-learning-enhanced-multi-factor-quantitative-asset-pricing-high	18	327367	111b1ba18150fe3310e078220b7338977fe79a986c6cd234b2dfd2b19ee0834c
35_2602.00080_the-gt-score-a-robust-objective-function-for-reducing-overfitting-in-d	12	956738	a9bca7ee4e4e809a1625ec27969219eb398afc39d70561deb04fa236c35faf12
36_2603.09219_algoxpert-alpha-research-framework-a-rigorous-is-wfa-oos-protocol-for-	19	577508	29fb8e6bfac48324d407e97664ea64fd2c59c63a0ebab78d04850c30660d706a
37_2512.12924_a-rigorous-walk-forward-validation-framework-for-market	35	3227697	e3e75a4c90499d22f83c36cc3777d7671b0d2b28e0c5da3ce89a6ac62917348a
38_2606.08209_markets-are-not-random-they-are-hard-to-predict	27	590374	9a67af7d143b82e7ff56f3a4bf5c1f555a947d8026a7d0b508ae0d057dac1f26
